CA(EØ) [°];CA(EL) [°];CA(ER) [°];CA(C) [°];CA(PØ) [°];CA(PL) [°];CA(PR) [°];CA(TØ) [°];CA(TL) [°];CA(TR) [°];Volumen [µl];Ø [mm];Área de la base [mm²];Superficie de la gota [mm²];SL Tilt [°];IFT [mN/m];Fase de la gota;Fase ambiente;Sustrato;?(d) [g/cm³];?(a) [g/cm³];?? [g/cm³];X [mm];Y [mm];Inclinación [°];T(a) [°C];T(d) [°C];T(s) [°C];Presión [bar];Humedad [% HR];Tamaño de referencia [mm];Referencia [px/mm]
57,71;57,09;58,33;56,25;55,84;54,57;57,12;56,96;56,06;57,86;2,57;2,795;6,137;8,338;0,25;73,50;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,49;56,93;58,05;56,17;55,71;54,29;57,13;56,88;55,97;57,80;2,58;2,795;6,136;8,345;0,25;69,78;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,47;56,87;58,07;56,09;55,62;53,71;57,54;56,82;55,80;57,84;2,58;2,795;6,134;8,365;0,25;71,84;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,38;56,71;58,04;55,99;55,63;53,99;57,27;56,74;55,76;57,72;2,59;2,800;6,158;8,387;0,25;67,00;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,44;56,80;58,07;55,87;55,28;54,08;56,47;56,70;55,86;57,55;2,58;2,800;6,157;8,360;0,25;59,73;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,28;56,68;57,88;55,80;55,63;54,40;56,87;56,66;55,77;57,54;2,58;2,805;6,180;8,370;0,25;77,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,24;56,62;57,87;55,73;55,56;54,41;56,72;56,60;55,74;57,47;2,58;2,805;6,179;8,375;0,25;73,25;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
57,08;56,52;57,64;55,65;55,38;54,29;56,47;56,50;55,58;57,41;2,58;2,810;6,203;8,381;0,25;88,53;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,95;56,33;57,57;55,57;55,28;54,11;56,46;56,31;55,37;57,26;2,58;2,810;6,202;8,381;0,25;89,40;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,91;56,40;57,42;55,50;55,19;53,80;56,59;56,21;55,42;57,00;2,58;2,810;6,201;8,382;0,25;68,54;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,83;56,27;57,39;55,43;55,03;53,97;56,08;56,16;55,33;56,99;2,59;2,815;6,224;8,399;0,25;76,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,73;56,16;57,31;55,33;54,52;53,81;55,22;55,99;55,22;56,76;2,58;2,821;6,249;8,400;0,25;98,64;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,69;56,13;57,26;55,27;54,58;53,17;55,99;55,97;55,21;56,73;2,58;2,820;6,248;8,398;0,25;98,98;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,58;56,10;57,05;55,21;54,42;53,51;55,33;55,93;55,27;56,58;2,59;2,820;6,247;8,428;0,25;105,95;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,52;55,97;57,07;55,14;54,47;53,80;55,15;55,87;55,10;56,64;2,59;2,820;6,246;8,418;0,25;77,95;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,40;55,88;56,93;55,07;54,43;53,68;55,18;55,71;54,99;56,43;2,59;2,820;6,245;8,437;0,25;74,61;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,38;55,80;56,95;54,99;54,42;53,96;54,87;55,66;55,00;56,32;2,59;2,825;6,269;8,437;0,25;69,00;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,28;55,74;56,82;54,92;54,30;53,96;54,63;55,59;54,94;56,23;2,59;2,831;6,293;8,449;0,25;91,90;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,25;55,68;56,83;54,85;54,23;53,46;54,99;55,58;54,90;56,26;2,59;2,830;6,292;8,445;0,25;72,41;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,23;55,66;56,80;54,77;54,04;53,47;54,61;55,51;54,87;56,15;2,59;2,830;6,291;8,446;0,25;81,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,14;55,60;56,68;54,71;54,15;53,42;54,89;55,48;54,78;56,19;2,59;2,830;6,290;8,435;0,25;70,36;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
56,05;55,52;56,58;54,65;53,91;52,86;54,97;55,36;54,57;56,14;2,59;2,830;6,290;8,444;0,25;61,71;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,96;55,41;56,50;54,59;53,95;52,76;55,14;55,27;54,43;56,10;2,59;2,835;6,314;8,455;0,25;73,74;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,94;55,40;56,47;54,54;54,12;52,68;55,57;55,23;54,38;56,07;2,59;2,835;6,313;8,444;0,25;75,40;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,84;55,32;56,36;54,47;53,96;52,98;54,94;55,14;54,39;55,90;2,59;2,841;6,337;8,454;0,25;101,46;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,82;55,28;56,35;54,42;53,91;52,72;55,10;55,12;54,32;55,91;2,59;2,840;6,336;8,464;0,25;78,78;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,77;55,17;56,37;54,36;53,58;52,38;54,78;55,09;54,34;55,84;2,60;2,840;6,336;8,480;0,25;74,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,80;55,26;56,35;54,28;53,49;52,93;54,05;55,08;54,43;55,73;2,59;2,840;6,335;8,470;0,25;81,46;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,69;55,12;56,26;54,22;53,80;53,25;54,35;54,99;54,24;55,75;2,59;2,840;6,334;8,463;0,25;75,61;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,61;55,05;56,17;54,17;53,78;53,43;54,13;54,95;54,25;55,65;2,59;2,840;6,334;8,461;0,25;69,81;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,50;54,93;56,07;54,12;53,77;53,48;54,06;54,81;54,04;55,58;2,59;2,845;6,358;8,485;0,25;72,53;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,47;54,92;56,02;54,08;53,77;53,50;54,05;54,79;54,13;55,46;2,59;2,845;6,357;8,477;0,25;70,20;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,36;54,83;55,89;54,02;53,52;52,95;54,09;54,64;53,96;55,33;2,59;2,850;6,381;8,486;0,25;91,01;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,37;54,84;55,90;53,97;53,38;53,34;53,42;54,66;54,05;55,27;2,59;2,850;6,381;8,485;0,25;78,29;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,40;54,87;55,93;53,93;53,28;52,81;53,74;54,65;54,03;55,27;2,59;2,850;6,380;8,494;0,25;72,35;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,24;54,69;55,79;53,86;53,31;52,85;53,77;54,58;53,88;55,27;2,60;2,850;6,380;8,513;0,25;64,41;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,28;54,74;55,83;53,79;53,19;52,34;54,03;54,50;53,77;55,22;2,60;2,855;6,404;8,518;0,25;79,84;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,27;54,78;55,75;53,73;53,22;52,12;54,31;54,57;53,84;55,29;2,60;2,855;6,403;8,519;0,25;76,94;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,16;54,66;55,66;53,68;53,03;52,11;53,94;54,42;53,70;55,14;2,60;2,855;6,402;8,516;0,25;72,62;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,10;54,56;55,64;53,64;53,33;52,27;54,39;54,46;53,77;55,15;2,60;2,855;6,402;8,527;0,25;65,96;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
55,07;54,48;55,65;53,59;53,37;52,08;54,66;54,40;53,62;55,17;2,60;2,855;6,401;8,526;0,25;64,97;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,99;54,47;55,52;53,54;53,55;52,75;54,35;54,39;53,75;55,03;2,60;2,860;6,426;8,529;0,25;100,12;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,94;54,47;55,42;53,51;53,31;52,47;54,16;54,27;53,68;54,86;2,60;2,860;6,425;8,516;0,25;78,27;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,92;54,38;55,47;53,45;53,17;52,53;53,81;54,30;53,61;55,00;2,60;2,860;6,425;8,527;0,25;80,99;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,83;54,30;55,36;53,41;53,04;52,08;54,01;54,16;53,47;54,84;2,60;2,860;6,425;8,528;0,25;74,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,82;54,29;55,34;53,37;53,27;52,28;54,25;54,16;53,45;54,87;2,60;2,865;6,449;8,537;0,25;79,82;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,72;54,20;55,24;53,32;52,88;52,12;53,64;54,02;53,29;54,75;2,60;2,865;6,448;8,537;0,25;71,27;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,73;54,18;55,27;53,28;53,00;51,86;54,14;54,08;53,32;54,84;2,60;2,865;6,448;8,537;0,25;71,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,77;54,28;55,25;53,22;52,28;51,43;53,13;53,96;53,23;54,68;2,60;2,865;6,447;8,530;0,25;64,73;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,68;54,14;55,22;53,18;52,11;51,00;53,23;53,89;53,11;54,67;2,60;2,865;6,447;8,529;0,25;63,46;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,67;54,16;55,18;53,15;52,27;51,10;53,45;53,90;53,21;54,60;2,60;2,865;6,446;8,529;0,25;68,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,56;54,01;55,11;53,12;52,36;51,38;53,35;53,85;53,17;54,54;2,60;2,865;6,446;8,527;0,25;63,62;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,58;54,04;55,12;53,09;52,45;51,45;53,45;53,89;53,23;54,56;2,60;2,870;6,470;8,538;0,25;72,91;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,48;53,93;55,04;53,04;52,23;51,39;53,08;53,78;53,10;54,47;2,60;2,865;6,446;8,537;0,25;69,91;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,54;54,02;55,05;53,03;52,39;51,41;53,36;53,86;53,24;54,48;2,60;2,865;6,445;8,546;0,25;55,13;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
54,45;53,91;54,99;52,98;52,53;51,83;53,23;53,77;53,08;54,45;2,60;2,870;6,469;8,565;0,25;78,44;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
